time_min,temp_C,OD600,strain,well,media,pos_selection,promoter,volume_marker,date,run_number
24.166666666666668,37.1,0.06,MG1655,A01,M9_0.5%_glucose,0_µg_tc,MG1655,MG1655,20210128,2
49.166666666666664,37.1,0.065,MG1655,A01,M9_0.5%_glucose,0_µg_tc,MG1655,MG1655,20210128,2
74.16666666666667,37.1,0.071,MG1655,A01,M9_0.5%_glucose,0_µg_tc,MG1655,MG1655,20210128,2
99.16666666666667,37.1,0.079,MG1655,A01,M9_0.5%_glucose,0_µg_tc,MG1655,MG1655,20210128,2
124.16666666666667,37.0,0.089,MG1655,A01,M9_0.5%_glucose,0_µg_tc,MG1655,MG1655,20210128,2
149.16666666666666,37.1,0.102,MG1655,A01,M9_0.5%_glucose,0_µg_tc,MG1655,MG1655,20210128,2
174.16666666666666,37.1,0.115,MG1655,A01,M9_0.5%_glucose,0_µg_tc,MG1655,MG1655,20210128,2
199.16666666666666,37.0,0.13,MG1655,A01,M9_0.5%_glucose,0_µg_tc,MG1655,MG1655,20210128,2
224.16666666666666,37.0,0.15,MG1655,A01,M9_0.5%_glucose,0_µg_tc,MG1655,MG1655,20210128,2
249.16666666666666,37.0,0.188,MG1655,A01,M9_0.5%_glucose,0_µg_tc,MG1655,MG1655,20210128,2
274.1666666666667,37.0,0.226,MG1655,A01,M9_0.5%_glucose,0_µg_tc,MG1655,MG1655,20210128,2
299.1666666666667,37.0,0.274,MG1655,A01,M9_0.5%_glucose,0_µg_tc,MG1655,MG1655,20210128,2
324.1666666666667,37.1,0.326,MG1655,A01,M9_0.5%_glucose,0_µg_tc,MG1655,MG1655,20210128,2
349.1666666666667,37.0,0.387,MG1655,A01,M9_0.5%_glucose,0_µg_tc,MG1655,MG1655,20210128,2
374.1666666666667,37.1,0.434,MG1655,A01,M9_0.5%_glucose,0_µg_tc,MG1655,MG1655,20210128,2
399.1666666666667,37.0,0.472,MG1655,A01,M9_0.5%_glucose,0_µg_tc,MG1655,MG1655,20210128,2
424.1666666666667,37.0,0.52,MG1655,A01,M9_0.5%_glucose,0_µg_tc,MG1655,MG1655,20210128,2
449.1666666666667,37.1,0.56,MG1655,A01,M9_0.5%_glucose,0_µg_tc,MG1655,MG1655,20210128,2
474.1666666666667,37.0,0.597,MG1655,A01,M9_0.5%_glucose,0_µg_tc,MG1655,MG1655,20210128,2
499.1666666666667,37.0,0.628,MG1655,A01,M9_0.5%_glucose,0_µg_tc,MG1655,MG1655,20210128,2
524.1666666666666,37.0,0.655,MG1655,A01,M9_0.5%_glucose,0_µg_tc,MG1655,MG1655,20210128,2
549.1666666666666,37.0,0.679,MG1655,A01,M9_0.5%_glucose,0_µg_tc,MG1655,MG1655,20210128,2
574.1666666666666,37.0,0.706,MG1655,A01,M9_0.5%_glucose,0_µg_tc,MG1655,MG1655,20210128,2
599.1666666666666,37.0,0.72,MG1655,A01,M9_0.5%_glucose,0_µg_tc,MG1655,MG1655,20210128,2
624.1666666666666,37.0,0.73,MG1655,A01,M9_0.5%_glucose,0_µg_tc,MG1655,MG1655,20210128,2
649.1666666666666,37.1,0.745,MG1655,A01,M9_0.5%_glucose,0_µg_tc,MG1655,MG1655,20210128,2
674.1666666666666,36.9,0.754,MG1655,A01,M9_0.5%_glucose,0_µg_tc,MG1655,MG1655,20210128,2
699.1666666666666,37.0,0.766,MG1655,A01,M9_0.5%_glucose,0_µg_tc,MG1655,MG1655,20210128,2
724.1666666666666,37.0,0.772,MG1655,A01,M9_0.5%_glucose,0_µg_tc,MG1655,MG1655,20210128,2
749.1666666666666,37.0,0.78,MG1655,A01,M9_0.5%_glucose,0_µg_tc,MG1655,MG1655,20210128,2
774.1666666666666,37.0,0.788,MG1655,A01,M9_0.5%_glucose,0_µg_tc,MG1655,MG1655,20210128,2
799.1666666666666,37.0,0.791,MG1655,A01,M9_0.5%_glucose,0_µg_tc,MG1655,MG1655,20210128,2
824.1666666666666,37.0,0.797,MG1655,A01,M9_0.5%_glucose,0_µg_tc,MG1655,MG1655,20210128,2
849.1666666666666,36.9,0.8,MG1655,A01,M9_0.5%_glucose,0_µg_tc,MG1655,MG1655,20210128,2
874.1666666666666,37.0,0.801,MG1655,A01,M9_0.5%_glucose,0_µg_tc,MG1655,MG1655,20210128,2
899.1666666666666,37.0,0.802,MG1655,A01,M9_0.5%_glucose,0_µg_tc,MG1655,MG1655,20210128,2
924.1666666666666,37.0,0.805,MG1655,A01,M9_0.5%_glucose,0_µg_tc,MG1655,MG1655,20210128,2
949.1666666666666,37.0,0.805,MG1655,A01,M9_0.5%_glucose,0_µg_tc,MG1655,MG1655,20210128,2
974.1666666666666,37.0,0.805,MG1655,A01,M9_0.5%_glucose,0_µg_tc,MG1655,MG1655,20210128,2
999.1666666666666,37.1,0.804,MG1655,A01,M9_0.5%_glucose,0_µg_tc,MG1655,MG1655,20210128,2
1024.1666666666667,37.1,0.804,MG1655,A01,M9_0.5%_glucose,0_µg_tc,MG1655,MG1655,20210128,2
1049.1666666666667,37.1,0.802,MG1655,A01,M9_0.5%_glucose,0_µg_tc,MG1655,MG1655,20210128,2
1074.1666666666667,37.1,0.8,MG1655,A01,M9_0.5%_glucose,0_µg_tc,MG1655,MG1655,20210128,2
1099.1666666666667,37.0,0.799,MG1655,A01,M9_0.5%_glucose,0_µg_tc,MG1655,MG1655,20210128,2
1124.1666666666667,37.1,0.798,MG1655,A01,M9_0.5%_glucose,0_µg_tc,MG1655,MG1655,20210128,2
1149.1666666666667,37.0,0.796,MG1655,A01,M9_0.5%_glucose,0_µg_tc,MG1655,MG1655,20210128,2
1174.1666666666667,37.1,0.795,MG1655,A01,M9_0.5%_glucose,0_µg_tc,MG1655,MG1655,20210128,2
1199.1666666666667,37.1,0.793,MG1655,A01,M9_0.5%_glucose,0_µg_tc,MG1655,MG1655,20210128,2
1224.1666666666667,37.0,0.792,MG1655,A01,M9_0.5%_glucose,0_µg_tc,MG1655,MG1655,20210128,2
1249.1666666666667,37.0,0.791,MG1655,A01,M9_0.5%_glucose,0_µg_tc,MG1655,MG1655,20210128,2
1274.1666666666667,37.0,0.79,MG1655,A01,M9_0.5%_glucose,0_µg_tc,MG1655,MG1655,20210128,2
1299.1666666666667,37.0,0.793,MG1655,A01,M9_0.5%_glucose,0_µg_tc,MG1655,MG1655,20210128,2
1324.1666666666667,37.1,0.787,MG1655,A01,M9_0.5%_glucose,0_µg_tc,MG1655,MG1655,20210128,2
1349.1666666666667,37.0,0.784,MG1655,A01,M9_0.5%_glucose,0_µg_tc,MG1655,MG1655,20210128,2
